c_id,i_id,i_quantity
1,1,"45 ml"
1,2,"30 ml"
1,3,"22.5 ml"
1,4,"15 ml"
2,5,"30 ml"
2,6,"30 ml"
2,7,"30 ml"
3,8,"30 ml"
3,9,"30 ml"
3,10,"A splash"
4,11,"30 ml"
4,12,"30 ml"
4,13,"30 ml"
5,11,"45 ml"
5,14,"15 ml"
5,3,"15 ml"
5,15,"1 Bar Spoon"
6,16,"45 ml"
6,17,"15 ml"
6,18,"60 ml"
6,19,"1 dash"
6,20,"Top up"
7,21,"52.5 ml"
7,22,"2 teaspoons"
7,3,"22.5 ml"
7,23,"22.5 ml"
8,20,"100 ml"
8,24,"50 ml"
9,25,"30 ml"
9,5,"30 ml"
9,26,"30 ml"
9,3,"20 ml"
10,27,"50 ml"
10,28,"20 ml"
11,27,"45 ml"
11,29,"90 ml"
11,3,"15 ml"
11,30,"2 dashes"
11,31,"Up to taste"
11,32,"Up to taste"
11,33,"Up to taste"
12,34,"45 ml"
12,8,"30 ml"
12,9,"30 ml"
13,11,"50 ml"
13,3,"25 ml"
13,35,"12,5 ml"
13,36,"15 ml"
14,37,"52,5 ml"
14,14,"7,5 ml"
14,38,"1 Bar Spoon"
14,3,"15 ml"
14,39,"1 Bar Spoon"
14,40,"2 Dashes"
15,41,"60 ml"
15,19,"15 ml"
15,42,"15 ml"
15,43,"50 ml"
16,44,"60 ml"
16,45,"1 (cut into small wedges)"
16,46,"4 Teaspoons"
17,47,"40 ml"
17,14,"10 ml"
17,3,"10 ml"
17,48,"2 Dashes"
18,49,"90 ml"
18,5,"10 ml"
18,1,"2 dashes"
18,50,"Few drops (Optional)"
18,51,1
19,11,"45 ml"
19,52,"15 ml"
19,3,"15 ml"
19,53,"Few Drops"
20,11,"30 ml"
20,54,"30 ml"
20,55,"30 ml"
20,3,"30 ml"
20,56,"1 dash"
21,57,"40 ml"
21,54,"15 ml"
21,19,"15 ml"
21,58,"30 ml"
22,25,"50 ml"
22,59,120ml
22,19,"10 ml"
23,60,"60 ml"
23,19,"20 ml"
23,61,"2 Bar Spoons"
24,62,"60 ml"
24,63,"100 ml"
25,11,"60 ml"
25,64,"10 ml"
26,27,"50 ml"
26,65,"30 ml"
26,35,"10 ml"
26,66,1
27,67,"50 ml"
27,68,"Fill up"
28,11,"30 ml"
28,3,"15 ml"
28,35,"15 ml"
28,69,"60 ml"
29,5,"35 ml"
29,70,"35 ml"
30,27,"45 ml"
30,71,"15 ml"
30,18,"15 ml"
31,11,"45 ml"
31,3,"30 ml"
31,39,"10 ml"
31,10,Splash
32,17,"20 ml"
32,26,"20 ml"
32,23,"20 ml"
32,7,"10 ml"
33,72,"20 ml"
33,73,"20 ml"
33,7,"20 ml"
34,74,"45 ml"
34,9,"45 ml"
34,67,"7.5 ml"
35,75,"60 ml"
35,76,"40 ml"
35,14,"15 ml"
35,77,"15 ml"
36,5,"40 ml"
36,78,"120 ml"
36,1,"Dash (optional)"
37,79,"30 ml"
37,80,"15 ml"
37,81,"15 ml"
37,14,"1 Bar Spoon"
37,19,"22.5 ml"
37,39,"15 ml"
37,53,"Few Drops (Optional)"
38,82,"50 ml"
38,83,"120 ml"
38,7,"50 ml (Chilled)"
38,84,"1 teaspoon"
39,11,"45 ml"
39,3,"30 ml"
39,39,"15 ml"
39,10,"60 ml"
40,85,"90 ml"
40,86,"10 ml"
41,11,"22.5 ml"
41,87,"22.5 ml"
41,14,"22.5 ml"
41,19,"22.5 ml"
42,88,"30 ml"
42,26,"20 ml"
42,3,"15 ml"
43,27,"15 ml"
43,89,"15 ml"
43,25,"15 ml"
43,11,"15 ml"
43,54,"15 ml"
43,3,"30 ml"
43,39,"20 ml"
43,68,"Top up"
44,90,"30 ml"
44,91,"30 ml"
44,92,"15 ml"
44,2,"15 ml"
44,19,"30 ml"
44,39,"7.5 ml"
45,4,"50 ml"
45,9,"20 ml"
45,1,"1 dash"
46,93,"50 ml"
46,26,"20 ml"
46,94,"15 ml"
47,74,"45 ml"
47,9,"45 ml"
47,95,"1 Bar Spoon"
47,48,"2 Dashes"
48,25,"45 ml"
48,18,"45 ml"
48,14,"7.5 ml"
48,96,"5 ml"
49,23,"75 ml"
49,20,"75 ml"
50,97,"60 ml"
50,98,4
50,99,"1 tsp"
50,43,"2 tsp"
51,60,"45 ml"
51,19,"20 ml"
51,100,"6 pcs"
51,46,"2 tsp"
51,10,"Top up"
52,21,"45 ml"
52,23,"45 ml"
52,56,"1 Table Spoon"
52,96,"1 Table Spoon"
53,101,"45 ml"
53,63,"120 ml"
53,19,"10 ml"
54,102,"22.5 ml"
54,103,"22.5 ml"
54,104,"22.5 ml"
54,19,"22.5 ml"
55,11,"30 ml"
55,8,"30 ml"
55,9,"30 ml"
56,34,"60 ml"
56,39,"22.5 ml"
56,3,"30 ml"
56,53,"Few Drops"
56,105,"15 ml"
57,106,"6/8 pcs"
57,107,"45 ml"
57,19,"22.5 ml"
57,39,"30 ml"
57,1,"2 Dashes"
57,108,"60 ml"
58,34,"45 ml"
58,51,1
58,1,"Few Dashes"
58,109,"Few Dashes"
59,110,"50 ml"
59,77,"5 ml"
59,111,"A pinch"
59,112,"100 ml"
60,97,"30 ml"
60,113,"30 ml"
60,104,"30 ml"
60,3,"30 ml"
61,11,"30 ml"
61,12,"20 ml"
61,23,"15 ml"
62,114,"60 ml"
62,115,"7.5 ml"
62,3,"22.5 ml"
62,22,"22.5 ml"
62,116,"2-3 quarter size"
63,25,"50 ml"
63,117,"30 ml"
63,18,"50 ml"
64,118,"60 ml"
64,3,"30 ml"
64,39,"20 ml"
64,53,"1 Raw"
65,119,"45 ml"
65,120,"15 ml"
65,121,"30 ml"
66,37,"15 ml"
66,122,"45 ml"
66,123,"10 ml"
67,11,"45 ml"
67,19,"15 ml"
67,3,"15 ml"
67,35,"30 ml"
67,124,"60 ml"
67,53,30ml
67,125,"3 Dashes"
67,126,"2 Drops"
67,10,"Top up"
68,27,"25 ml"
68,3,"25 ml"
68,86,"15 ml"
68,35,"10 ml"
68,127,"Top up"
69,128,"45 ml"
69,129,25ml
70,5,"50 ml"
70,56,"10 ml"
70,51,1
70,130,"2 Dashes"
71,27,"40 ml"
71,58,"120 ml"
71,76,"30 ml"
72,27,"40 ml"
72,131,"20 ml"
72,23,"40 ml"
72,58,"40 ml"
73,5,"50 ml"
73,26,"20 ml"
73,3,"20 ml"
74,11,"30 ml"
74,132,"15 ml"
74,54,"7.5 ml"
74,133,"7.5 ml"
74,18,"120 ml"
74,19,"15 ml"
74,96,"10 ml"
74,1,"A dash"
75,74,"60 ml"
75,3,"30 ml"
75,39,"15 ml"
75,106,5/6
75,53,"Few Drops (Optional)"
76,134,"50 ml"
76,135,"15 ml"
76,19,"15 ml"
76,136,"10 ml"
76,137,"2 thin Slices"
77,20,"90 ml"
77,104,"60 ml"
77,10,Splash
78,5,"50 ml"
78,138,"20 ml"
79,139,"30 ml"
79,11,"30 ml"
79,19,"15 ml"
79,1,"2 Dashes"
79,63,"Top up"
80,89,45ml
80,23,"90 ml"
80,96,"15 ml"
