id,name
1,"Angostura Bitters"
2,"Orgeat Syrup"
3,"Fresh Lemon Juice"
4,"Rye Whiskey"
5,Cognac
6,"Creme de Cacao (Brown)"
7,"Fresh Cream"
8,"Bitter Campari"
9,"Sweet Red Vermouth"
10,"Soda Water"
11,Gin
12,"Apricot Brandy"
13,Calvados
14,"Maraschino Luxardo"
15,"Creme de Violette"
16,"Gold Rum"
17,Galliano
18,"Fresh Pineapple Juice"
19,"Fresh Lime Juice"
20,Prosecco
21,"Dry Gin"
22,"Honey Syrup"
23,"Fresh Orange Juice"
24,"White Peach Puree"
25,"White Rum"
26,"Triple Sec"
27,Vodka
28,"Coffee Liqueur"
29,"Tomato Juice"
30,"Worcestershire Sauce"
31,Tabasco
32,"Celery Salt"
33,"Pepper "
34,"Bourbon or Rye Whiskey"
35,"Sugar Syrup"
36,"Creme de Mure"
37,Brandy
38,Curacao
39,"Simple Syrup"
40,"Aromatic Bitters"
41,"Cuban Aguardiente"
42,"Raw Honey"
43,Water
44,Cachaça
45,"Lime "
46,"White Cane Sugar"
47,"Old Tom Gin"
48,"Orange Bitters"
49,"Chilled Champagne"
50,"Grand Marnier"
51,"Sugar Cube"
52,"Raspberry Syrup"
53,"Egg White"
54,Cointreau
55,"Lillet Blanc"
56,Absinthe
57,"Vodka Citron"
58,"Cranberry Juice"
59,"Coca Cola"
60,"White Cuban Ron (Rum)"
61,"Superfine Sugar"
62,"Goslings Rum"
63,"Ginger Beer"
64,"Dry Vermouth"
65,Kahlúa
66,"Espresso (strong)"
67,"Fernet Branca"
68,Cola
69,Champagne
70,Amaretto
71,"Raspberry Liqueur"
72,"Creme de Cacao (White)"
73,"Creme de Menthe (Green)"
74,"London Dry Gin"
75,Rum
76,"Grapefruit Juice"
77,"Fresh Lime"
78,"Ginger Ale"
79,"Espadin Mezcal"
80,"Jamaica Overproof White Rum"
81,Falernum
82,"Irish Whiskey"
83,"Hot coffee"
84,Sugar
85,"Dry White Wine"
86,"Creme de Cassis"
87,"Green Chartreuse"
88,"Vodka Citron "
89,Tequila
90,"Amber Jamaican Rum"
91,"Martinique Molasses Rhum"
92,"Orange Curacao"
93,"Tequila 100% Agave"
94,"Freshly Squeezed Lime Juice"
95,"Maraschino Liqueur"
96,"Grenadine Syrup"
97,"Bourbon Whiskey"
98,"Fresh Mint sprigs"
99,"Powdered Sugar"
100,"Mint Sprigs"
101,"Smirnoff Vodka"
102,Mezcal
103,"Yellow Chartreuse"
104,Aperol
105,"Red wine (Shiraz or Malbech)"
106,"Mint Leaves"
107,"Aged Rum"
108,"Brut Champagne or Prosecco"
109,"Plain Water"
110,"100% Agave Tequila"
111,Salt
112,"Pink Grapefruit Soda"
113,"Amaro Nonino"
114,"Blended Scotch Whisky"
115,"Lagavulin 16y Whisky"
116,"Sliced Fresh Ginger"
117,"Coconut Cream"
118,Pisco
119,"Jamaican Rum"
120,"Lime Juice"
121,"Sugar Cane Juice"
122,"Red Tawny Port Wine"
123,"Egg Yolk"
124,Cream
125,"Orange Flower Water"
126,"Vanilla Extract"
127,"Sparkling wine"
128,"Scotch Whisky"
129,Drambuie
130,"Peychaud’s Bitters"
131,"Peach Schnapps"
132,"Cherry liqueur"
133,"DOM Be´ne´dictine"
134,"Vodka Vanilla"
135,"Elderflower Cordial"
136,"Monin Honey Syrup"
137,"Red Chili Pepper"
138,"White Creme de Menthe"
139,"Cognac or Brandy"
140,"Tequila Agave 100% Reposado"
141,"Fresh Lime Juice (Persiano)"
142,"Agave Syrup (1/2 Water + 1/2 Agave Nectar)"
143,"White Smooth Grappa"
144,"Honey mix (replace water with chamomile)"
145,"Chamomile cordial"
146,"Sweet Vermouth"
147,Be´ne´dictine
148,"Egg White (Optional)"
149,"Jamaican dark rum"
150,"Gold Puerto Rican rum"
151,"Demerara Rum"
152,"Donn’s Mix"
153,Pernod
